"","Susceptible","Infected","Recovered"
"114",667.176692845067,263.396424134854,86.6742548136643
"115",236.02659060646,260.245918233795,199.80935686787
"116",839.93546067002,312.845512710624,297.055482981546
"117",727.106600038263,518.7829860008,62.7064539514876
"118",617.476700686005,138.160668400755,57.5280303531912
"119",264.583542153673,321.487365520512,135.840619819489
"120",546.845173631296,766.017763843391,307.403170276955
"121",504.801349873436,242.585649848224,184.571159743318
"122",605.801070550148,252.710070905897,270.23656765387
"123",153.647139494592,49.4635159148159,115.07485364737
"124",367.310529624337,99.9227561051745,113.149351551373
"125",489.821693647009,134.736108108512,49.7339516548926
"126",443.713167978683,314.207634372653,151.954652462481
"127",592.609517325791,206.314898613519,229.699276900921
"128",803.150195654819,480.829178579334,140.377858516741
"129",67.8364530519228,166.387467604202,271.793252540813
